Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,343.350006,355.450012,322.350006,339.750000,318.351166,59833683
2020-02-13,340.000000,342.399994,324.049988,327.000000,311.912598,24055205
2020-02-14,329.000000,334.450012,318.700012,320.799988,305.998657,19506457
2020-02-17,320.700012,324.399994,306.200012,307.750000,293.550781,16954075
2020-02-18,307.950012,307.950012,293.299988,300.049988,286.206024,18991374
2020-02-19,306.000000,313.350006,302.850006,305.450012,291.356903,19471833
2020-02-20,304.000000,359.750000,301.299988,338.200012,322.595856,70436641
2020-02-24,335.000000,350.799988,326.000000,330.850006,315.584991,40567458
2020-02-25,337.500000,344.000000,318.350006,324.700012,309.718719,35753585
2020-02-26,324.600006,334.700012,315.649994,321.500000,306.666351,31030962
2020-02-27,326.000000,328.200012,308.200012,316.700012,302.087860,30595992
2020-02-28,303.200012,306.299988,275.850006,279.850006,266.938049,37439449
2020-03-02,307.799988,349.750000,279.000000,284.399994,271.278107,70157790
2020-03-03,295.000000,303.799988,283.399994,292.549988,279.052094,47549484
2020-03-04,296.000000,297.850006,270.450012,282.899994,269.847321,40968496
2020-03-05,288.899994,300.000000,280.299988,285.450012,272.279694,40814937
2020-03-06,256.950012,258.899994,243.199997,254.500000,242.757660,43258904
2020-03-09,229.050003,229.050003,203.800003,213.649994,203.792435,40079520
2020-03-11,206.649994,218.949997,186.500000,195.550003,186.527557,55646832
2020-03-12,176.000000,176.000000,131.500000,163.600006,156.051697,49633888
2020-03-13,147.250000,177.000000,140.000000,163.600006,156.051697,37205598
2020-03-16,152.100006,164.699997,150.000000,153.600006,146.513092,23092497
2020-03-17,154.050003,174.949997,150.100006,160.100006,152.713181,35348743
2020-03-18,164.699997,170.000000,113.550003,135.449997,129.200500,38337483
2020-03-19,122.000000,126.650002,81.400002,89.750000,85.609039,73985571
2020-03-20,93.000000,115.500000,81.000000,90.800003,86.610596,132894114
2020-03-23,81.750000,99.849998,81.750000,96.250000,91.809143,41121210
2020-03-24,105.000000,105.849998,88.150002,90.199997,86.038277,22819451
2020-03-25,85.099998,97.000000,83.199997,95.050003,90.664505,21239155
2020-03-26,95.050003,104.000000,88.150002,95.650002,91.236824,38589207
2020-03-27,100.000000,109.949997,89.250000,90.900002,86.705978,39851276
2020-03-30,89.449997,92.849998,85.599998,91.349998,87.135216,15500126
2020-03-31,94.900002,99.150002,92.050003,96.750000,92.286072,16346985
2020-04-01,98.300003,105.000000,97.050003,99.349998,94.766106,23202178
2020-04-03,98.500000,99.000000,93.500000,96.650002,92.190681,14992636
2020-04-07,101.800003,102.349998,96.699997,98.099998,93.573776,20704589
2020-04-08,96.500000,102.449997,95.050003,96.849998,92.381447,21732918
2020-04-09,98.000000,100.400002,97.050003,98.300003,93.764549,18745432
2020-04-13,98.000000,98.449997,88.500000,93.849998,89.519875,22426783
2020-04-15,94.099998,97.750000,90.500000,91.750000,87.516762,24766949
2020-04-16,90.199997,110.099998,90.150002,106.300003,101.395447,54680160
2020-04-17,116.900002,127.550003,111.550003,125.349998,119.566498,82090865
2020-04-20,131.750000,132.899994,123.099998,129.000000,123.048088,51746714
2020-04-21,120.000000,122.349998,113.150002,115.900002,110.552513,37693350
2020-04-22,114.000000,117.500000,108.000000,115.550003,110.218666,35036210
2020-04-23,115.550003,121.000000,115.000000,119.449997,113.938713,22783429
2020-04-24,114.000000,118.400002,111.000000,112.949997,107.738609,19607836
