MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NP,ECLFINANCE,SEC RED NCD 10.40% SR. IV,      1056.00,      1053.00,      1088.00,      1053.00,      1056.10,                     9541.60,9, ,4,      1215.00,       976.35
N,NP,IIFL,SEC RE NCD 0% SR.II,      1012.20,      1012.00,      1012.20,      1012.00,      1012.00,                   298541.00,295, ,3,      1050.00,       842.80
N,NQ,ECLFINANCE,SEC RED NCD SR. V,      1558.80,      1561.80,      1561.80,      1542.80,      1559.80,                   501962.02,322, ,13,      1825.00,      1385.00
N,NQ,IBULHSGFIN,SEC RE NCD 8.66% SR.VI,       972.00,       970.00,       970.00,       965.01,       969.64,                   135750.10,140, ,2,      1170.00,       818.00
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,      1002.25,      1010.10,      1010.10,      1005.00,      1005.00,                   202010.10,201, ,6,      1119.15,       801.10
N,NS,ECLFINANCE,SEC RED NCD 10.6% SR. VII,      1034.01,      1039.00,      1059.00,      1038.00,      1040.42,                    36432.00,35, ,6,      1228.00,       922.00
N,NS,IBULHSGFIN,SEC RE NCD 9.25% SR.VII,       970.00,       959.00,       959.00,       959.00,       959.00,                     4795.00,5, ,1,      1020.00,       870.00
N,NS,IIFL,SEC RE NCD 8.65% SR.V,       949.99,       949.99,       959.00,       945.00,       945.00,                   971252.00,1023, ,16,      1000.00,       922.00
N,NU,DHANILOANS,SEC RE NCD 10.03% SR.IV,       985.00,       985.00,       985.00,       985.00,       985.00,                     3940.00,4, ,2,      1158.80,       820.50
N,NV,IIFL,SEC RE NCD 8.35% SR.I,       950.00,       951.01,       962.75,       951.01,       962.75,                  1119666.51,1163, ,6,       995.00,       830.00
N,NW,IBULHSGFIN,UNSE RE NCD 9.35% SR.X,       905.00,       901.00,       901.00,       901.00,       901.00,                    90100.00,100, ,1,      1021.00,       821.20
N,NY,IBULHSGFIN,SEC RE NCD 8.75% SR.I,      1030.90,      1030.90,      1045.00,      1030.90,      1045.00,                    56148.00,54, ,4,      1052.80,       960.20
N,NZ,IBUCCREDIT,SEC RE NCD 10.03% SR.VIII,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                    69690.00,69, ,2,      1065.00,       950.00
N,NZ,IIFL,SEC RE NCD 8.65% SR.V,       939.90,       939.89,       939.90,       939.00,       939.00,                   259253.13,276, ,7,      1000.00,       920.00
N,Y0,IIFL,SEC RE NCD 9% SR.VI,       950.00,       950.00,       960.00,       950.00,       960.00,                    38300.00,40, ,2,       999.00,       901.00
N,Y1,IBULHSGFIN,SEC RE NCD SR.II,      1105.45,      1105.45,      1105.45,      1105.45,      1105.45,                    22109.00,20, ,2,      1139.00,       960.15
N,Y2,DHANILOANS,SEC RE NCD 10.03% SR.IV,       985.00,       990.00,       990.00,       990.00,       990.00,                     9900.00,10, ,1,      1002.00,       820.30
N,Y5,DHANILOANS,SEC RE NCD 10.49% SR.VII,       970.00,       970.00,       970.00,       970.00,       970.00,                     4850.00,5, ,1,      1204.00,       818.20
N,Y5,L&TFINANCE,SE RE NCD 8.60% SR.IV O8,      1062.51,      1064.94,      1064.94,      1064.94,      1064.94,                     4259.76,4, ,1,      1100.00,       950.20
N,Y7,L&TFINANCE,SE RE NCD 8.29% SR.V O10,      1000.23,      1004.00,      1004.00,       996.30,       999.00,                   176862.89,177, ,21,      1058.00,       975.00
N,Y8,IBULHSGFIN,SEC RE NCD 8.66% SR.VI,       970.00,       951.01,       954.00,       932.00,       951.68,                   280882.62,298,XI,8,       977.00,       901.10
N,Y9,L&TFINANCE,SE RE NCD 8.65% SR.VI O12,      1085.00,      1085.00,      1085.00,      1085.00,      1085.00,                     1085.00,1, ,1,      1149.00,      1028.00
N,YI,IBULHSGFIN,SEC RE NCD SR.II,      1110.00,      1119.00,      1119.00,      1119.00,      1119.00,                     5595.00,5, ,1,      1281.00,       915.50
N,YI,SHRIRAMFIN,SEC RED NCD 9.03% SR. II,      1055.00,      1018.00,      1018.00,      1018.00,      1018.00,                     6108.00,6, ,1,      1134.40,       992.50
N,YP,SHRIRAMFIN,SEC RED NCD 9.30% SR. II,      1029.90,      1029.90,      1055.00,      1025.00,      1025.00,                   227049.00,220, ,6,      1250.00,      1011.00
N,YR,SHRIRAMFIN,SEC RED NCD 9.50% SR. IV,      1080.00,      1082.50,      1082.50,      1080.00,      1080.00,                   135062.50,125, ,5,      1108.99,      1001.00
N,YT,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,       959.00,       950.00,       950.00,       950.00,       950.00,                     9500.00,10, ,2,      1100.00,       816.00
N,YU,SHRIRAMFIN,SEC RED NCD SR. VII,      1547.99,      1549.00,      1549.00,      1543.00,      1543.00,                   262677.56,170, ,7,      1790.00,      1356.01
N,YV,SHRIRAMFIN,SEC RED NCD 9.12% SR. I,      1004.00,      1008.00,      1008.00,      1007.00,      1007.00,                    10073.00,10, ,3,      1115.00,       906.00
N,YZ,IBULHSGFIN,SEC RE NCD 8.70% SR.III,       965.00,       970.00,       970.00,       960.00,       960.00,                    19290.00,20, ,3,      1110.00,       890.00
N,Z3,IBULHSGFIN,SEC RE NCD SR.V,      1060.00,      1047.00,      1047.00,      1047.00,      1047.00,                     5235.00,5, ,1,      1072.00,       800.00
N,Z4,SHRIRAMFIN,SEC RED NCD 9.22% SR.II,      1020.00,      1020.00,      1020.00,       992.00,      1020.00,                    31060.00,31, ,4,      1198.00,       971.01
N,ZE,SHRIRAMFIN,SEC RED NCD 8.66% SR.II,      1015.00,      1000.00,      1000.00,       981.00,       992.92,                   195023.70,197, ,15,      1048.00,       978.50
N,ZI,SHRIRAMFIN,SEC RED NCD 9.10% SR.VI,      1017.00,      1017.00,      1017.00,      1017.00,      1017.00,                    39663.00,39, ,1,      1138.00,       991.00
N,ZK,SHRIRAMFIN,SEC RED NCD SR.VIII,      1359.00,      1361.00,      1361.00,      1361.00,      1361.00,                     9527.00,7, ,1,      1507.00,      1250.00
N,ZP,IBULHSGFIN,SEC RE NCD 9.30% SR.I,      1028.90,      1028.00,      1028.00,      1028.00,      1028.00,                     3084.00,3, ,2,      1030.00,       860.00
