MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N3,PFC,7.60% TAX FREE NCD,      1240.00,      1230.00,      1230.01,      1230.00,      1230.01,                   201720.81,164, ,2,      1279.84,      1153.00
N,N3,POONAWALLA,SEC RED NCD 10.04% SR.III,       953.00,       953.01,       953.01,       953.01,       953.01,                     9530.10,10, ,1,      1023.00,       953.00
N,N4,CHOLAFIN,SEC RE NCD 8.40% SR.V,      1030.00,       995.00,       995.00,       995.00,       995.00,                      995.00,1, ,1,      1030.00,       995.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1314.44,      1324.00,      1324.00,      1324.00,      1324.00,                   397200.00,300, ,2,      1400.00,      1201.60
N,N4,IIHFL,UNSEC RE NCD 10% SR.I,       966.40,       961.15,       979.00,       961.00,       979.00,                    97087.50,101, ,5,      1149.00,       925.00
N,N4,IREDA,IREDA 8.41NCDTR I SR I B,      1050.00,      1043.15,      1043.15,      1043.15,      1043.15,                    10431.50,10, ,1,      1327.80,      1000.61
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1146.00,      1143.00,      1143.00,      1143.00,      1143.00,                   114300.00,100, ,1,      1238.00,       915.10
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1068.03,      1094.73,      1149.99,      1076.90,      1111.60,                  1012898.99,913, ,160,      1199.88,      1015.00
N,N4,RECLTD,BOND 7.04% PA TAX FREE S2,      1295.00,      1120.00,      1120.00,      1120.00,      1120.00,                   201600.00,180, ,4,      1327.80,      1064.01
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1000.50,      1000.60,      1019.45,      1000.60,      1001.26,                   501759.05,501, ,6,      1100.01,       990.13
N,N4,UGROCAP,SEC RED NCD 10.40% SR.III,      1000.00,       976.00,       999.00,       976.00,       999.00,                    12757.00,13, ,2,      1111.00,       951.00
N,N5,CREDITACC,SEC RE NCD 10% SR. V,      1000.10,      1010.00,      1010.00,      1010.00,      1010.00,                    14140.00,14, ,1,      1072.00,      1000.10
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       903.21,       910.00,       910.01,       910.00,       910.00,                    98280.02,108, ,3,       970.00,       890.10
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1115.00,      1130.00,      1141.86,      1115.00,      1118.82,                   245185.20,218, ,6,      1170.00,      1031.50
N,N5,IIHFL,UNSEC RE NCD 9.60% SR.II,       982.00,       982.00,       982.00,       978.00,       978.49,                   736919.10,752, ,23,      1012.00,       965.00
N,N5,NHAI,8.50% TAX FREE TR I S IIA,      1081.10,      1194.00,      1197.00,      1171.00,      1196.76,                   330720.67,278, ,17,      1451.00,      1081.10
N,N5,NIDO,SEC RED NCD 9.57% SR. V,       978.00,       975.00,       976.50,       975.00,       975.00,                    31220.90,32, ,5,      1024.90,       931.00
N,N5,PFC,8.30% TAX FREE NCD,      1165.00,      1165.00,      1165.00,      1165.00,      1165.00,                   265620.00,228, ,9,      1210.00,      1104.05
N,N5,UGROCAP,SEC RED NCD 10.15% SR. I,       999.90,       999.00,       999.00,       999.00,       999.00,                     4995.00,5, ,1,      1024.90,       806.10
N,N6,CHOLAFIN,SEC RE NCD 8.25% SR 1,       997.50,      1000.00,      1000.00,      1000.00,      1000.00,                   110000.00,110, ,4,      1005.40,       987.10
N,N6,INCREDFIN,SEC RE NCD 9.65% SR.III,       990.00,      1005.00,      1005.00,      1005.00,      1005.00,                     2010.00,2, ,2,      1005.00,       965.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1190.32,      1209.00,      1209.00,      1190.00,      1192.37,                   955861.29,801, ,50,      1269.00,      1150.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      6776.80,      6795.00,      6848.00,      6765.00,      6790.60,                  3126613.38,461, ,87,      7140.00,      5775.00
N,N6,NHPC,8.92% SEC RED BOND S3B,      1290.00,      1290.00,      1325.00,      1290.00,      1325.00,                  1447170.00,1101, ,8,      1420.00,      1242.65
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1330.00,      1320.50,      1350.00,      1318.00,      1349.80,                  2683725.45,2014, ,19,      1469.99,      1271.00
N,N6,PCHFL,SEC RE NCD 8.50% SR.III,      1005.00,      1002.00,      1002.00,      1002.00,      1002.00,                    38076.00,38, ,2,      1079.00,       985.05
N,N6,RECLTD,BOND 8.46% TAX FREE S2A,      1200.00,      1200.00,      1200.00,      1200.00,      1200.00,                     1200.00,1, ,1,      1288.79,      1110.00
N,N7,CREDITACC,SEC RE NCD 9.10% SR I,       994.75,       993.10,       993.10,       993.10,       993.10,                    84413.50,85,XI,1,      1001.00,       985.74
N,N7,IIFL,UNSEC RED NCD 10.5% SR.VI,      1016.21,      1009.00,      1009.00,      1009.00,      1009.00,                    50450.00,50, ,1,      1198.90,      1002.00
N,N7,IIHFL,SEC RE NCD 8.25% SR.I,      1006.50,      1013.20,      1013.20,      1002.45,      1009.80,                    31321.45,31, ,4,      1040.55,       825.20
N,N7,NAVIFIN,SEC RE NCD 10.50% SR.IV,      1000.00,      1003.50,      1003.50,      1003.50,      1003.50,                   100350.00,100, ,1,      1009.00,       989.00
N,N7,NIDO,SEC RED NCD SR. VII,      1832.00,      1832.00,      1832.00,      1832.00,      1832.00,                     9160.00,5, ,1,      2300.00,      1450.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        10.46,        10.47,        10.48,        10.46,        10.48,                   288333.18,27524, ,70,        13.66,        10.00
N,N7,RECLTD,BOND 8.37% TAX FREE S3A,      3798.40,      3038.72,      3038.72,      3038.72,      3038.72,                    69890.56,23, ,8,      4760.00,      3038.72
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,      1535.01,      1531.00,      1535.50,      1531.00,      1535.50,                   107382.50,70, ,5,      1590.10,      1129.90
N,N8,HUDCO,7.64% TAX FREETRI SR2B,      1164.90,      1170.00,      1170.00,      1170.00,      1170.00,                     1170.00,1, ,1,      1224.80,      1130.00
